RUN	com.gatling.tests.api.ApiTest1	apitest1	1689972567035	first name	3.6.1
USER	Get API Request Demo	START	1689972568227
REQUEST		Get Single User	1689972568276	1689972568357	OK	 
USER	Get API Request Demo	START	1689972568712
REQUEST		Get Single User	1689972568712	1689972568980	OK	 
USER	Get API Request Demo	START	1689972569210
REQUEST		Get Single User	1689972569211	1689972569443	OK	 
USER	Get API Request Demo	END	1689972569508
USER	Get API Request Demo	START	1689972569723
REQUEST		Get Single User	1689972569724	1689972569788	OK	 
USER	Get API Request Demo	END	1689972569989
USER	Get API Request Demo	START	1689972570218
REQUEST		Get Single User	1689972570219	1689972570283	OK	 
USER	Get API Request Demo	END	1689972570453
USER	Get API Request Demo	START	1689972570702
REQUEST		Get Single User	1689972570702	1689972570781	OK	 
USER	Get API Request Demo	END	1689972570795
USER	Get API Request Demo	START	1689972571212
REQUEST		Get Single User	1689972571213	1689972571273	OK	 
USER	Get API Request Demo	END	1689972571291
USER	Get API Request Demo	START	1689972571713
REQUEST		Get Single User	1689972571714	1689972571776	OK	 
USER	Get API Request Demo	END	1689972571790
USER	Get API Request Demo	START	1689972572210
REQUEST		Get Single User	1689972572211	1689972572278	OK	 
USER	Get API Request Demo	END	1689972572289
USER	Get API Request Demo	START	1689972572708
REQUEST		Get Single User	1689972572709	1689972572777	OK	 
USER	Get API Request Demo	END	1689972572787
USER	Get API Request Demo	END	1689972573289
USER	Get API Request Demo	END	1689972573790
